,Year,Month,Day,User Score,Title,Genre,Duration [minutes],Director,Lead_Actor_1,Lead_Actor_2,Budget [USD],Revenue [USD],Language,Classification
1683,1991,Jul,20,73,Only Yesterday (1991),"['Animation', 'Drama', 'Romance']",119,Isao Takahata,Miki Imai,Toshirō Yanagiba,-,"$473,110.00",Japanese,PG
1684,1989,Nov,17,73,The Little Mermaid (1989),"['Animation', 'Family', 'Fantasy']",83,John Musker,Jodi Benson,Samuel E. Wright,"$40,000,000.00","$211,343,479.00",English,G
1685,2001,Sep,05,73,The Piano Teacher (2001),"['Drama', 'Romance']",131,Michael Haneke,Isabelle Huppert,Annie Girardot,"$3,000,000.00","$9,801,375.00",French,R
1686,2016,May,13,73,Justice League vs. Teen Titans (2016),"['Science Fiction', 'Action', 'Animation']",78,Bryan Q. Miller,Stuart Allan,Taissa Farmiga,-,-,English,B15
1687,2015,Oct,23,73,Remember (2015),"['Drama', 'Thriller', 'Mystery']",94,Atom Egoyan,Christopher Plummer,Bruno Ganz,-,"$1,986,615.00",English,R
1688,2015,Sep,11,73,Full Out (2015),"['History', 'Drama', 'Family']",94,Sean Cisterna,Ana Golja,Jennifer Beals,"$1,500,000.00",-,English,6
1689,2013,May,29,73,Now You See Me (2013),"['Thriller', 'Crime']",116,Edward Ricourt,Woody Harrelson,Morgan Freeman,"$75,000,000.00","$351,723,989.00",English,B
1690,1992,Dec,10,73,The Muppet Christmas Carol (1992),"['Music', 'Comedy', 'Family', 'Fantasy', 'Drama']",85,Brian Henson,Michael Caine,Dave Goelz,"$12,000,000.00","$27,281,507.00",English,G
1691,1964,Sep,20,73,Goldfinger (1964),"['Adventure', 'Action', 'Thriller']",110,Guy Hamilton,Sean Connery,Gert Fröbe,"$2,500,000.00","$124,881,062.00",English,A
1692,2017,Mar,30,73,The Big Sick (2017),"['Comedy', 'Drama', 'Romance']",2,Michael Showalter,Kumail Nanjiani,Zoe Kazan,"$5,000,000.00","$56,303,596.00",English,R
1693,2014,Aug,08,73,Stand by Me Doraemon (2014),"['Animation', 'Family', 'Science Fiction', 'Fantasy']",90,Takashi Yamazaki,Wasabi Mizuta,Megumi Oohara,"$35,000,000.00","$83,061,158.00",Japanese,G
1694,1973,Dec,01,73,The Wicker Man (1973),['Horror'],94,Robin Hardy,Edward Woodward,Christopher Lee,"$810,000.00",-,English,R
1695,1978,Oct,05,73,Drunken Master (1978),"['Action', 'Comedy']",111,Yuen Woo-ping,Jackie Chan,Yuen Siu-Tien,-,-,Cantonese,PG13
1696,2018,Aug,02,73,Christopher Robin (2018),"['Adventure', 'Comedy', 'Family', 'Fantasy']",104,A. A. Milne,Ewan McGregor,Hayley Atwell,"$75,000,000.00","$99,138,899.00",English,PG
1697,2016,May,12,73,The Wailing (2016),"['Horror', 'Mystery']",156,Na Hong-jin,Kwak Do-won,Hwang Jung-min,"$10,951,000.00","$49,851,770.00",Korean,15
1698,2013,Nov,09,73,Patema Inverted (2013),"['Animation', 'Adventure', 'Drama', 'Fantasy', 'Science Fiction']",98,Yasuhiro Yoshiura,Yukiyo Fujii,Masayuki Katou,-,-,Japanese,12세이상관람가
1699,2018,Feb,16,73,Z-O-M-B-I-E-S (2018),"['Music', 'Fantasy', 'Comedy', 'Romance', 'TV Movie']",94,Paul Hoen,Milo Manheim,Meg Donnelly,-,-,English,G
1700,2012,Dec,18,73,Les Misérables (2012),"['History', 'Drama']",158,Tom Hooper,Hugh Jackman,Russell Crowe,"$61,000,000.00","$441,809,770.00",English,PG13
1701,1997,Sep,11,73,Funny Games (1997),"['Drama', 'Horror', 'Thriller']",109,Michael Haneke,Ulrich Mühe,Susanne Lothar,-,-,German,R
1702,1971,Mar,05,73,Death in Venice (1971),"['Drama', 'History']",130,Luchino Visconti,Dirk Bogarde,Romolo Valli,-,-,Italian,PG
1703,1952,Jan,07,73,The African Queen (1952),"['Adventure', 'Romance']",105,John Huston,Humphrey Bogart,Katharine Hepburn,"$1,000,000.00","$10,750,000.00",English,PG
1704,1987,Aug,21,73,Dirty Dancing (1987),"['Drama', 'Music', 'Romance']",100,Emile Ardolino,Jennifer Grey,Patrick Swayze,"$6,000,000.00","$214,577,242.00",English,PG13
1705,2019,Jun,27,73,Anima (2019),['Music'],15,Paul Thomas Anderson,Thom Yorke,None,-,-,English,PG13
1706,2017,Sep,07,73,Papillon (2017),"['Drama', 'History', 'Crime']",134,Michael Noer,Charlie Hunnam,Rami Malek,-,"$10,060,903.00",English,R
1707,1997,Dec,12,73,Deconstructing Harry (1997),"['Comedy', 'Drama']",96,Woody Allen,Woody Allen,Judy Davis,"$20,000,000.00","$10,686,841.00",English,R
1708,2019,Oct,16,73,Maleficent: Mistress of Evil (2019),"['Family', 'Fantasy', 'Adventure', 'Action']",119,Linda Woolverton,Angelina Jolie,Elle Fanning,"$185,000,000.00","$491,730,089.00",English,PG
1709,2010,Oct,01,73,The Social Network (2010),['Drama'],121,David Fincher,Jesse Eisenberg,Andrew Garfield,"$40,000,000.00","$224,920,315.00",English,PG13
1710,2009,Feb,07,73,Blood and Bone (2009),"['Action', 'Drama', 'Thriller']",93,Ben Ramsey,Michael Jai White,Julian Sands,"$3,700,000.00",-,English,R
1711,2019,May,24,73,Elisa &amp; Marcela (2019),"['Drama', 'Romance']",118,Isabel Coixet,Natalia de Molina,Greta Fernández,-,-,Spanish; Castilian,
1712,2013,Nov,28,73,The Mafia Kills Only in Summer (2013),"['Romance', 'Comedy', 'Crime', 'Drama']",90,Pif,Pif,Cristiana Capotondi,-,-,Italian,T
1713,1967,Oct,26,73,Wait Until Dark (1967),"['Crime', 'Thriller', 'Horror']",108,Terence Young,Audrey Hepburn,Alan Arkin,"$4,000,000.00","$11,000,000.00",English,NR
1714,1998,Feb,27,73,Dark City (1998),"['Mystery', 'Science Fiction']",100,Alex Proyas,Rufus Sewell,William Hurt,"$27,000,000.00","$27,200,316.00",English,R
1715,1992,Jun,03,73,Twin Peaks: Fire Walk with Me (1992),"['Drama', 'Mystery', 'Horror']",135,David Lynch,Sheryl Lee,Ray Wise,"$10,000,000.00","$4,160,851.00",English,R
1716,2006,Sep,13,73,Perfume: The Story of a Murderer (2006),"['Crime', 'Fantasy', 'Drama']",147,Tom Tykwer,Ben Whishaw,Alan Rickman,"$60,000,000.00","$135,039,924.00",English,R
1717,1966,Dec,13,73,A Man for All Seasons (1966),"['Drama', 'History']",2,Fred Zinnemann,Paul Scofield,Wendy Hiller,"$3,900,000.00","$28,350,000.00",English,G
1718,1987,Dec,23,73,"Good Morning, Vietnam (1987)","['Comedy', 'Drama', 'War']",121,Barry Levinson,Robin Williams,Forest Whitaker,"$13,000,000.00","$123,922,370.00",English,R
1719,2019,Nov,01,73,Harriet (2019),"['Drama', 'History']",125,Kasi Lemmons,Cynthia Erivo,Leslie Odom Jr.,-,-,English,PG13
1720,1976,Oct,29,73,Horse Fever (1976),['Comedy'],90,Steno,Gigi Proietti,Enrico Montesano,-,-,Italian,T
1721,1953,Aug,28,73,From Here to Eternity (1953),"['War', 'Romance', 'Drama']",118,Fred Zinnemann,Burt Lancaster,Montgomery Clift,"$1,650,000.00","$30,500,000.00",English,NR
1722,2001,Mar,16,73,His Secret Life (2001),"['Drama', 'Romance']",106,Ferzan Özpetek,Margherita Buy,Stefano Accorsi,-,"$215,339.00",Italian,R
1723,1953,Jul,14,73,Gentlemen Prefer Blondes (1953),"['Music', 'Comedy', 'Romance']",91,Howard Hawks,Marilyn Monroe,Jane Russell,"$2,300,000.00","$5,300,000.00",English,NR
1724,2020,Aug,28,73,Phineas and Ferb: The Movie: Candace Against the Universe (2020),"['Family', 'Animation', 'Science Fiction', 'Comedy', 'TV Movie']",84,Dan Povenmire,Ashley Tisdale,Vincent Martella,-,-,English,G
1725,2012,Jul,13,73,The Imposter (2012),"['Documentary', 'Mystery']",99,Bart Layton,Frédéric Bourdin,Adam O'Brian,-,-,English,R
1726,1952,Jul,21,73,The Quiet Man (1952),"['Romance', 'Comedy']",129,John Ford,John Wayne,Maureen O'Hara,"$1,750,000.00","$3,800,000.00",English,NR
1727,2002,Mar,10,73,Ice Age (2002),"['Animation', 'Comedy', 'Family', 'Adventure']",81,Michael J. Wilson,Ray Romano,John Leguizamo,"$59,000,000.00","$383,257,136.00",English,AA
1728,2015,Mar,20,73,Woman in Gold (2015),['Drama'],109,Simon Curtis,Helen Mirren,Ryan Reynolds,"$11,000,000.00","$61,619,773.00",English,PG13
1729,2008,Nov,19,73,Mesrine: Public Enemy #1 (2008),"['Action', 'Thriller', 'Crime', 'Drama']",133,Jean-François Richet,Vincent Cassel,Ludivine Sagnier,"$80,000,000.00",-,French,12
1730,1964,Jun,23,73,A Shot in the Dark (1964),"['Comedy', 'Crime', 'Mystery']",102,Blake Edwards,Peter Sellers,Elke Sommer,-,"$12,368,234.00",English,PG
1731,2015,Mar,12,73,Suite Française (2015),"['Drama', 'Romance', 'War']",103,Saul Dibb,Michelle Williams,Kristin Scott Thomas,"$15,000,000.00","$9,104,716.00",English,NR
1732,2013,May,05,73,Star Trek Into Darkness (2013),"['Action', 'Adventure', 'Science Fiction']",132,Gene Roddenberry,Chris Pine,Zachary Quinto,"$190,000,000.00","$467,365,246.00",English,PG13
1733,2010,Feb,12,73,Loose Cannons (2010),"['Comedy', 'Drama', 'Romance']",108,Ferzan Özpetek,Riccardo Scamarcio,Nicole Grimaudo,"$7,000,000.00","$8,220,215.00",Italian,16
1734,2010,Jan,15,73,The First Beautiful Thing (2010),"['Comedy', 'Drama']",122,Paolo Virzì,Valerio Mastandrea,Micaela Ramazzotti,-,-,Italian,T
1735,2002,Jun,20,73,Minority Report (2002),"['Action', 'Thriller', 'Science Fiction', 'Mystery']",145,Steven Spielberg,Tom Cruise,Colin Farrell,"$102,000,000.00","$358,372,926.00",English,B15
1736,2016,Dec,28,73,20th Century Women (2016),['Drama'],119,Mike Mills,Annette Bening,Lucas Jade Zumann,"$7,000,000.00","$5,664,764.00",English,R
1737,2009,Oct,15,73,Law Abiding Citizen (2009),"['Drama', 'Crime', 'Thriller']",109,F. Gary Gray,Jamie Foxx,Gerard Butler,"$53,000,000.00","$127,944,208.00",English,R
1738,1991,Apr,17,73,Delicatessen (1991),"['Comedy', 'Science Fiction', 'Fantasy']",99,Jean-Pierre Jeunet,Dominique Pinon,Marie-Laure Dougnac,"$4,000,000.00","$1,794,187.00",French,R
1739,2020,Sep,23,73,Enola Holmes (2020),"['Action', 'Adventure', 'Mystery', 'Comedy', 'Crime']",123,Harry Bradbeer,Millie Bobby Brown,Henry Cavill,"$21,000,000.00",-,English,PG13
1740,2004,Oct,26,73,A Very Long Engagement (2004),"['Drama', 'Romance', 'War']",133,Jean-Pierre Jeunet,Audrey Tautou,Gaspard Ulliel,"$47,000,000.00",-,French,R
1741,2016,Nov,15,73,Split (2016),"['Horror', 'Thriller']",117,M. Night Shyamalan,James McAvoy,Anya Taylor-Joy,"$9,000,000.00","$278,454,358.00",English,B15
1742,2015,Dec,11,73,The Big Short (2015),"['Comedy', 'Drama']",131,Adam McKay,Christian Bale,Steve Carell,"$28,000,000.00","$133,346,506.00",English,R
1743,1971,Jul,01,73,Walkabout (1971),"['Adventure', 'Drama']",95,Nicolas Roeg,Jenny Agutter,Luc Roeg,-,-,English,PG
1744,2006,Jul,06,73,Pirates of the Caribbean: Dead Man's Chest (2006),"['Adventure', 'Fantasy', 'Action']",151,Ted Elliott,Johnny Depp,Orlando Bloom,"$200,000,000.00","$1,065,659,812.00",English,B
1745,2007,Mar,03,73,5 Centimeters per Second (2007),"['Animation', 'Drama', 'Family', 'Romance']",62,Makoto Shinkai,Kenji Mizuhashi,Yoshimi Kondou,"$5,000,000.00",-,Japanese,PG
1746,1968,Apr,04,73,The Party (1968),['Comedy'],99,Blake Edwards,Peter Sellers,Claudine Longet,"$1,500,000.00",-,English,B15
1747,2018,Aug,02,73,Mia and the White Lion (2018),"['Adventure', 'Family', 'Drama']",98,Gilles de Maistre,Daniah De Villiers,Mélanie Laurent,"$9,600,000.00","$35,487,190.00",French,A
1748,2019,Jun,28,73,Ophelia (2019),"['Drama', 'Romance', 'History']",114,Claire McCarthy,Daisy Ridley,Naomi Watts,"$12,000,000.00","$242,115.00",English,PG13
1749,2014,Oct,10,73,Lava (2014),"['Animation', 'Family']",7,James Ford Murphy,Napua Greig,Kuana Torres Kahele,-,-,English,G
1750,2008,Feb,06,73,Chocolate (2008),"['Action', 'Comedy', 'Crime']",93,Prachya Pinkaew,JeeJa Yanin,Hiroshi Abe,-,-,Thai,16
1751,1983,Mar,31,73,The Meaning of Life (1983),['Comedy'],107,Terry Jones,Terry Gilliam,Graham Chapman,"$9,000,000.00","$14,949,697.00",English,R
1752,1989,Aug,09,73,The Abyss (1989),"['Adventure', 'Action', 'Thriller', 'Science Fiction']",140,James Cameron,Ed Harris,Mary Elizabeth Mastrantonio,"$70,000,000.00","$90,000,098.00",English,PG13
1753,1989,Mar,31,73,Heathers (1989),"['Comedy', 'Crime']",103,Michael Lehmann,Winona Ryder,Christian Slater,"$3,000,000.00","$1,108,462.00",English,
1754,1995,Aug,17,73,The City of Lost Children (1995),"['Fantasy', 'Science Fiction', 'Adventure']",108,Marc Caro,Ron Perlman,Dominique Pinon,"$18,000,000.00","$1,738,611.00",French,15
1755,1981,Jul,24,73,Blow Out (1981),"['Crime', 'Drama', 'Mystery', 'Thriller']",108,Brian De Palma,John Travolta,Nancy Allen,"$18,000,000.00","$12,000,000.00",English,B
1756,1968,Sep,04,73,Stolen Kisses (1968),"['Comedy', 'Drama', 'Romance']",90,François Truffaut,Jean-Pierre Léaud,Claude Jade,"$350,000.00","$1,500,000.00",French,R
1757,2013,Dec,25,73,The Physician (2013),"['Adventure', 'Drama', 'History']",155,Philipp Stölzl,Tom Payne,Ben Kingsley,"$36,000,000.00","$57,284,237.00",English,R
1758,2017,Jul,28,73,Detroit (2017),"['Crime', 'Drama', 'Thriller', 'History']",143,Kathryn Bigelow,John Boyega,Will Poulter,"$34,000,000.00","$23,355,100.00",English,R
1759,1959,Dec,16,73,Pickpocket (1959),"['Crime', 'Drama']",75,Robert Bresson,Martin LaSalle,Marika Green,-,-,French,6
1760,1983,May,28,73,"Merry Christmas, Mr. Lawrence (1983)","['Drama', 'History', 'War']",124,Nagisa Ōshima,David Bowie,Tom Conti,-,-,Japanese,R
1761,2004,Oct,17,73,Finding Neverland (2004),['Drama'],106,Allan Knee,Johnny Depp,Kate Winslet,"$25,000,000.00","$116,766,556.00",English,PG
1762,2018,Mar,28,73,Gonjiam: Haunted Asylum (2018),"['Horror', 'Mystery']",94,Jung Bum-shik,Wi Ha-jun,Park Ji-hyun,-,"$21,041,950.00",Korean,15
1763,2016,Apr,23,73,I Am a Hero (2016),"['Action', 'Horror', 'Drama']",126,Shinsuke Sato,Yo Oizumi,Kasumi Arimura,-,-,Japanese,R
1764,2012,Sep,20,73,End of Watch (2012),"['Crime', 'Drama', 'Thriller']",109,David Ayer,Jake Gyllenhaal,Michael Peña,"$7,000,000.00","$48,126,384.00",English,R
1765,2011,Apr,20,73,Tomboy (2011),['Drama'],82,Céline Sciamma,Zoé Héran,Malonn Lévana,"$1,000,000.00",-,French,NR
1766,2009,Jan,07,73,Red Cliff Part II (2009),"['Action', 'Adventure', 'Drama', 'History', 'War']",142,John Woo,Tony Leung Chiu-wai,Takeshi Kaneshiro,"$80,000,000.00","$121,059,225.00",Chinese,R
1767,1999,Jun,02,73,Ghost Dog: The Way of the Samurai (1999),"['Crime', 'Drama']",116,Jim Jarmusch,Forest Whitaker,John Tormey,"$2,000,000.00","$9,400,000.00",English,R
1768,2004,Jun,17,73,The Terminal (2004),"['Comedy', 'Drama']",128,Steven Spielberg,Tom Hanks,Catherine Zeta-Jones,"$60,000,000.00","$219,417,255.00",English,PG13
1769,2020,Jul,10,73,Palm Springs (2020),"['Comedy', 'Romance', 'Science Fiction']",90,Max Barbakow,Andy Samberg,Cristin Milioti,-,"$164,000.00",English,R
1770,2005,Mar,15,73,Jack-Jack Attack (2005),"['Adventure', 'Animation', 'Family']",5,Brad Bird,Bret 'Brook' Parker,Bud Luckey,-,-,English,NR
1771,1961,Apr,27,73,The Guns of Navarone (1961),"['War', 'Action']",158,J. Lee Thompson,Gregory Peck,David Niven,"$6,000,000.00","$28,900,000.00",English,NR
1772,1942,Jul,10,73,The Magnificent Ambersons (1942),"['Drama', 'Romance', 'History']",88,Orson Welles,Joseph Cotten,Dolores Costello,-,-,English,NR
1773,1998,Mar,03,73,Run Lola Run (1998),"['Action', 'Drama', 'Thriller']",81,Tom Tykwer,Franka Potente,Moritz Bleibtreu,"$1,530,000.00","$7,267,585.00",German,B
1774,2002,Apr,13,73,Interstate 60 (2002),"['Adventure', 'Comedy', 'Fantasy']",116,Bob Gale,James Marsden,Gary Oldman,"$7,000,000.00",-,English,R
1775,2016,Jun,24,73,Adventures in Babysitting (2016),"['TV Movie', 'Comedy', 'Family']",95,John Schultz,Sabrina Carpenter,Sofia Carson,"$9,000,000.00",-,English,G
1776,2014,Oct,14,73,Testament of Youth (2014),"['History', 'Drama', 'War']",129,James Kent,Alicia Vikander,Kit Harington,-,"$1,822,250.00",English,PG13
1777,2012,Nov,01,73,Wreck-It Ralph (2012),"['Family', 'Animation', 'Comedy', 'Adventure']",101,Rich Moore,John C. Reilly,Sarah Silverman,"$165,000,000.00","$471,222,889.00",English,PG
1778,2010,Feb,23,73,Justice League: Crisis on Two Earths (2010),"['Action', 'Adventure', 'Animation', 'Science Fiction']",75,Dwayne McDuffie,William Baldwin,James Woods,-,-,English,B
1779,2009,Mar,04,73,Watchmen (2009),"['Action', 'Mystery', 'Science Fiction']",163,Zack Snyder,Malin Åkerman,Patrick Wilson,"$130,000,000.00","$185,258,983.00",English,C
1780,1972,Aug,18,73,Deliverance (1972),"['Drama', 'Adventure', 'Thriller']",109,James Dickey,Jon Voight,Burt Reynolds,"$2,000,000.00","$46,122,355.00",English,R
1781,1975,Feb,28,73,The Passenger (1975),"['Thriller', 'Drama']",126,Michelangelo Antonioni,Jack Nicholson,Maria Schneider,-,-,Italian,PG13
1782,2000,Aug,30,73,"O Brother, Where Art Thou? (2000)","['Adventure', 'Comedy', 'Crime']",107,Joel Coen,George Clooney,John Turturro,"$26,000,000.00","$71,870,729.00",English,PG13
1783,2010,Dec,22,73,The Yellow Sea (2010),"['Drama', 'Thriller', 'Crime']",141,Na Hong-jin,Ha Jung-woo,Kim Yoon-seok,-,-,Korean,18
1784,2012,Nov,26,73,The Hobbit: An Unexpected Journey (2012),"['Adventure', 'Fantasy', 'Action']",169,Peter Jackson,Ian McKellen,Martin Freeman,"$250,000,000.00","$1,021,103,568.00",English,B
1785,1981,Apr,02,73,Christiane F. (1981),['Drama'],131,Uli Edel,Natja Brunckhorst,Thomas Haustein,-,-,German,R
1786,2020,Sep,30,73,American Murder: The Family Next Door (2020),"['Documentary', 'Mystery', 'Crime']",83,Jenny Popplewell,Nickole Atkinson,Jim Benemann,-,-,English,R
1787,2016,Jun,16,73,The Fundamentals of Caring (2016),"['Comedy', 'Drama']",97,Rob Burnett,Paul Rudd,Craig Roberts,-,-,English,R
1788,2002,Dec,14,73,Gangs of New York (2002),"['Drama', 'History', 'Crime']",168,Jay Cocks,Leonardo DiCaprio,Daniel Day-Lewis,"$100,000,000.00","$193,772,504.00",English,R
1789,2020,Nov,20,73,Two Distant Strangers (2020),['Drama'],32,Travon Free,Joey Bada$$,Andrew Howard,-,-,English,R
1790,2013,Sep,20,73,The Lunchbox (2013),"['Drama', 'Romance']",104,Ritesh Batra,Irrfan Khan,Nimrat Kaur,"$3,400,000.00","$17,240,000.00",Hindi,PG
1791,1983,Nov,18,73,A Christmas Story (1983),"['Comedy', 'Family']",93,Bob Clark,Melinda Dillon,Darren McGavin,"$3,300,000.00","$20,653,717.00",English,PG
1792,2002,Dec,27,73,The Hours (2002),['Drama'],114,Stephen Daldry,Nicole Kidman,Julianne Moore,"$25,000,000.00","$41,597,830.00",English,PG13
1793,2021,Dec,17,73,Swan Song (2021),"['Drama', 'Science Fiction']",112,Benjamin Cleary,Mahershala Ali,Naomie Harris,-,-,English,R
1794,2016,Oct,27,73,At War for Love (2016),"['War', 'Drama', 'Comedy', 'Romance']",99,Pif,Pif,Miriam Leone,-,-,Italian,T
1795,2007,Jul,27,73,An American Crime (2007),"['Crime', 'Drama']",97,Tommy O'Haver,Elliot Page,Catherine Keener,"$2,000,000.00",-,English,18
1796,1993,Jan,20,73,Stalingrad (1993),"['Drama', 'History', 'War']",134,Joseph Vilsmaier,Dominique Horwitz,Thomas Kretschmann,-,"$152,972.00",German,NR
1797,1998,Dec,09,73,Kirikou and the Sorceress (1998),"['Fantasy', 'Adventure', 'Animation', 'Family']",70,Michel Ocelot,Doudou Gueye Thiaw,Maimouna N'Diaye,"$4,495,000.00",-,French,U
1798,2018,Jun,14,73,The Guilty (2018),"['Drama', 'Thriller']",86,Gustav Möller,Jakob Cedergren,Jessica Dinnage,-,-,Danish,R
1799,1984,Nov,09,73,A Nightmare on Elm Street (1984),['Horror'],91,Wes Craven,Heather Langenkamp,Robert Englund,"$1,800,000.00","$25,685,134.00",English,R
1800,2015,Dec,15,73,Star Wars: The Force Awakens (2015),"['Adventure', 'Action', 'Science Fiction', 'Fantasy']",136,J.J. Abrams,Harrison Ford,Mark Hamill,"$245,000,000.00","$2,068,223,624.00",English,B
1801,2012,Sep,28,73,Pitch Perfect (2012),"['Comedy', 'Music', 'Romance']",112,Jason Moore,Anna Kendrick,Brittany Snow,"$17,000,000.00","$115,400,000.00",English,PG13
1802,2007,Dec,14,73,The Kite Runner (2007),['Drama'],128,Marc Forster,Ahmad Khan Mahmoodzada,Atossa Leoni,"$20,000,000.00","$73,276,047.00",English,PG13
1803,2019,Jan,10,73,A Dog's Way Home (2019),"['Drama', 'Adventure', 'Family']",96,Charles Martin Smith,Ashley Judd,Jonah Hauer-King,"$18,000,000.00","$17,643,857.00",English,PG
1804,2016,Aug,28,73,Team Thor (2016),"['Comedy', 'Science Fiction']",3,Taika Waititi,Chris Hemsworth,Mark Ruffalo,-,-,English,PG
1805,2016,Oct,14,73,Gantz:O (2016),"['Science Fiction', 'Action', 'Animation']",95,Keiichi Sato,Yuki Kaji,Daisuke Ono,-,"$2,238,600.00",Japanese,NC17
1806,2015,Oct,02,73,Freeheld (2015),"['Romance', 'Drama']",103,Peter Sollett,Julianne Moore,Elliot Page,"$7,000,000.00","$573,335.00",English,PG13
1807,1974,Oct,01,73,The Texas Chain Saw Massacre (1974),['Horror'],83,Tobe Hooper,Marilyn Burns,Allen Danziger,"$85,000.00","$30,900,000.00",English,C
1808,1975,Sep,24,73,Three Days of the Condor (1975),"['Thriller', 'Mystery', 'Adventure']",117,Sydney Pollack,Robert Redford,Faye Dunaway,"$7,800,000.00","$41,509,797.00",English,R
1809,2007,Mar,22,73,The Counterfeiters (2007),"['Drama', 'War']",98,Stefan Ruzowitzky,Karl Markovics,August Diehl,-,-,German,12
1810,2016,May,04,73,Tini: The New Life of Violetta (2016),"['Comedy', 'Drama', 'Music']",95,Juan Pablo Buscarini,Tini Stoessel,Clara Alonso,"$19,201,483.00","$17,000,172.00",Spanish; Castilian,AL
1811,2014,Oct,08,73,The Judge (2014),['Drama'],141,David Dobkin,Robert Downey Jr.,Robert Duvall,"$50,000,000.00","$83,719,388.00",English,R
1812,2020,Oct,21,73,Bye Bye Morons (2020),"['Comedy', 'Drama']",87,Albert Dupontel,Virginie Efira,Albert Dupontel,"$9,700,000.00","$16,955,173.00",French,U
1813,2020,Jun,24,73,#Alive (2020),"['Action', 'Horror', 'Thriller']",98,Cho Il,Yoo Ah-in,Park Shin-hye,"$6,300,000.00","$13,416,285.00",Korean,15
1814,2014,Aug,06,73,The Hundred-Foot Journey (2014),"['Drama', 'Comedy']",122,Richard C. Morais,Helen Mirren,Manish Dayal,"$22,000,000.00","$88,880,821.00",English,PG
1815,2015,Oct,20,73,Brooklyn (2015),"['Romance', 'Drama']",111,John Crowley,Saoirse Ronan,Domhnall Gleeson,"$11,000,000.00","$62,076,141.00",English,PG13
1816,2012,Sep,13,73,Twice Born (2012),"['Drama', 'Romance', 'War']",127,Sergio Castellitto,Penélope Cruz,Emile Hirsch,"$13,000,000.00","$18,295.00",Italian,R
1817,2008,Oct,15,73,Frost/Nixon (2008),"['Drama', 'History']",122,Ron Howard,Michael Sheen,Frank Langella,"$25,000,000.00","$18,593,156.00",English,R
1818,1994,Dec,21,73,Little Women (1994),"['Drama', 'Romance']",115,Gillian Armstrong,Winona Ryder,Trini Alvarado,"$18,000,000.00","$50,083,616.00",English,PG
1819,2011,Sep,22,73,Weekend (2011),"['Drama', 'Romance']",96,Andrew Haigh,Tom Cullen,Chris New,"$120,000.00","$484,592.00",English,18
1820,1977,Aug,31,73,The Duellists (1977),"['Drama', 'War']",100,Ridley Scott,Keith Carradine,Harvey Keitel,"$900,000.00",-,English,PG
1821,1956,Mar,23,73,Forbidden Planet (1956),['Science Fiction'],98,Fred M. Wilcox,Walter Pidgeon,Anne Francis,"$1,900,000.00","$3,250,000.00",English,G
1822,1981,Sep,10,73,The Evil Dead (1981),['Horror'],85,Sam Raimi,Bruce Campbell,Ellen Sandweiss,"$350,000.00","$29,400,000.00",English,NC17
1823,2022,Aug,11,73,Fall (2022),['Thriller'],107,Scott Mann,Grace Caroline Currey,Virginia Gardner,"$3,000,000.00","$11,900,000.00",English,PG13
1824,2015,Feb,05,73,Mune: Guardian of the Moon (2015),"['Animation', 'Family', 'Adventure', 'Fantasy']",86,Benoît Philippon,Michaël Grégorio,Omar Sy,"$17,000,000.00","$15,730,665.00",French,PG
1825,2013,May,28,73,Venus in Fur (2013),['Drama'],96,Roman Polanski,Emmanuelle Seigner,Mathieu Amalric,-,"$342,183.00",French,NR
1826,2009,Jun,02,73,The Hangover (2009),['Comedy'],100,Todd Phillips,Bradley Cooper,Ed Helms,"$35,000,000.00","$469,310,836.00",English,B15
1827,2008,Dec,03,73,A Matter of Loaf and Death (2008),"['Animation', 'Comedy', 'Family']",30,Nick Park,Peter Sallis,Sally Lindsay,-,-,English,G
1828,1986,Mar,14,73,Crossroads (1986),"['Drama', 'Music', 'Mystery', 'Romance']",99,Walter Hill,Ralph Macchio,Joe Seneca,-,"$5,738,952.00",English,R
1829,1981,Dec,01,73,On Golden Pond (1981),"['Adventure', 'Drama', 'Romance']",109,Mark Rydell,Katharine Hepburn,Henry Fonda,"$15,000,000.00","$119,285,432.00",English,PG
1830,1998,Dec,25,73,Patch Adams (1998),"['Comedy', 'Drama']",115,Tom Shadyac,Robin Williams,Monica Potter,"$50,000,000.00","$202,292,902.00",English,PG13
1831,2007,Mar,02,73,Becoming Jane (2007),"['Romance', 'Drama']",2,Julian Jarrold,Anne Hathaway,James McAvoy,"$16,500,000.00","$37,311,672.00",English,PG
1832,2017,Dec,25,73,The 12th Man (2017),"['War', 'Drama']",136,Harald Zwart,Thomas Gullestad,Jonathan Rhys Meyers,"$7,806,306.00","$9,567,121.00",Norwegian,NR
1833,1964,Dec,06,73,Rudolph the Red-Nosed Reindeer (1964),"['Animation', 'Family', 'TV Movie']",52,Larry Roemer,Burl Ives,Billie Mae Richards,-,-,English,G
1834,2004,May,19,73,House of Flying Daggers (2004),"['Adventure', 'Drama', 'Action']",119,Zhang Yimou,Takeshi Kaneshiro,Andy Lau,"$15,000,000.00","$92,863,945.00",Chinese,B
1835,1988,Nov,23,73,They Live (1988),"['Science Fiction', 'Action']",94,John Carpenter,Roddy Piper,Keith David,"$4,000,000.00","$13,008,928.00",English,R
1836,2004,Jul,23,73,The Bourne Supremacy (2004),"['Action', 'Drama', 'Thriller']",108,Paul Greengrass,Matt Damon,Franka Potente,"$75,000,000.00","$288,500,217.00",English,PG13
